Site,Parameter,Date (LST),Year,Month,Day,Hour,Value
Beijing,PM2.5,2011/1/14 6:00,2011,1,14,6,15
Beijing,PM2.5,2011/1/14 7:00,2011,1,14,7,16
Beijing,PM2.5,2011/1/14 8:00,2011,1,14,8,19
Beijing,PM2.5,2011/1/14 9:00,2011,1,14,9,20
Beijing,PM2.5,2011/1/14 10:00,2011,1,14,10,21
Beijing,PM2.5,2011/1/14 11:00,2011,1,14,11,20
Beijing,PM2.5,2011/1/14 12:00,2011,1,14,12,14
Beijing,PM2.5,2011/1/14 13:00,2011,1,14,13,18
Beijing,PM2.5,2011/1/14 14:00,2011,1,14,14,20
Beijing,PM2.5,2011/1/14 15:00,2011,1,14,15,13
Beijing,PM2.5,2011/1/14 16:00,2011,1,14,16,16
Beijing,PM2.5,2011/1/14 17:00,2011,1,14,17,21
Beijing,PM2.5,2011/1/14 18:00,2011,1,14,18,20
Beijing,PM2.5,2011/1/14 19:00,2011,1,14,19,13
Beijing,PM2.5,2011/1/14 20:00,2011,1,14,20,13
Beijing,PM2.5,2011/1/14 21:00,2011,1,14,21,13
Beijing,PM2.5,2011/1/14 22:00,2011,1,14,22,12
Beijing,PM2.5,2011/1/14 23:00,2011,1,14,23,11
Beijing,PM2.5,2011/1/15 0:00,2011,1,15,0,12
Beijing,PM2.5,2011/1/15 1:00,2011,1,15,1,15
Beijing,PM2.5,2011/1/15 2:00,2011,1,15,2,12
Beijing,PM2.5,2011/1/15 3:00,2011,1,15,3,12
Beijing,PM2.5,2011/1/15 4:00,2011,1,15,4,9
Beijing,PM2.5,2011/1/15 5:00,2011,1,15,5,10
Beijing,PM2.5,2011/1/15 6:00,2011,1,15,6,11
Beijing,PM2.5,2011/1/15 7:00,2011,1,15,7,11
Beijing,PM2.5,2011/1/15 8:00,2011,1,15,8,18
Beijing,PM2.5,2011/1/15 9:00,2011,1,15,9,22
Beijing,PM2.5,2011/1/15 10:00,2011,1,15,10,10
Beijing,PM2.5,2011/1/15 11:00,2011,1,15,11,12
Beijing,PM2.5,2011/1/15 12:00,2011,1,15,12,17
Beijing,PM2.5,2011/1/15 13:00,2011,1,15,13,17
Beijing,PM2.5,2011/1/15 14:00,2011,1,15,14,17
Beijing,PM2.5,2011/1/15 15:00,2011,1,15,15,14
Beijing,PM2.5,2011/1/15 16:00,2011,1,15,16,15
Beijing,PM2.5,2011/1/15 17:00,2011,1,15,17,15
Beijing,PM2.5,2011/1/15 18:00,2011,1,15,18,21
Beijing,PM2.5,2011/1/15 19:00,2011,1,15,19,27
Beijing,PM2.5,2011/1/15 20:00,2011,1,15,20,17
Beijing,PM2.5,2011/1/15 21:00,2011,1,15,21,29
Beijing,PM2.5,2011/1/15 22:00,2011,1,15,22,33
Beijing,PM2.5,2011/1/15 23:00,2011,1,15,23,29
Beijing,PM2.5,2011/1/16 0:00,2011,1,16,0,24
Beijing,PM2.5,2011/1/16 1:00,2011,1,16,1,16
Beijing,PM2.5,2011/1/16 2:00,2011,1,16,2,14
Beijing,PM2.5,2011/1/16 3:00,2011,1,16,3,13
Beijing,PM2.5,2011/1/16 4:00,2011,1,16,4,13
Beijing,PM2.5,2011/1/16 5:00,2011,1,16,5,13
Beijing,PM2.5,2011/1/16 6:00,2011,1,16,6,19
Beijing,PM2.5,2011/1/16 7:00,2011,1,16,7,11
Beijing,PM2.5,2011/1/16 8:00,2011,1,16,8,17
Beijing,PM2.5,2011/1/16 9:00,2011,1,16,9,26
Beijing,PM2.5,2011/1/16 10:00,2011,1,16,10,25
Beijing,PM2.5,2011/1/16 11:00,2011,1,16,11,31
Beijing,PM2.5,2011/1/16 12:00,2011,1,16,12,37
Beijing,PM2.5,2011/1/16 13:00,2011,1,16,13,30
Beijing,PM2.5,2011/1/16 14:00,2011,1,16,14,40
Beijing,PM2.5,2011/1/16 15:00,2011,1,16,15,39
Beijing,PM2.5,2011/1/16 16:00,2011,1,16,16,56
Beijing,PM2.5,2011/1/16 17:00,2011,1,16,17,60
Beijing,PM2.5,2011/1/16 18:00,2011,1,16,18,72
Beijing,PM2.5,2011/1/16 19:00,2011,1,16,19,61
Beijing,PM2.5,2011/1/16 20:00,2011,1,16,20,70
Beijing,PM2.5,2011/1/16 21:00,2011,1,16,21,73
Beijing,PM2.5,2011/1/16 22:00,2011,1,16,22,77
Beijing,PM2.5,2011/1/16 23:00,2011,1,16,23,107
Beijing,PM2.5,2011/1/17 0:00,2011,1,17,0,130
Beijing,PM2.5,2011/1/17 1:00,2011,1,17,1,128
Beijing,PM2.5,2011/1/17 2:00,2011,1,17,2,50
Beijing,PM2.5,2011/1/17 3:00,2011,1,17,3,41
Beijing,PM2.5,2011/1/17 4:00,2011,1,17,4,40
Beijing,PM2.5,2011/1/17 5:00,2011,1,17,5,34
Beijing,PM2.5,2011/1/17 6:00,2011,1,17,6,37
Beijing,PM2.5,2011/1/17 7:00,2011,1,17,7,30
Beijing,PM2.5,2011/1/17 8:00,2011,1,17,8,36
Beijing,PM2.5,2011/1/17 9:00,2011,1,17,9,27
Beijing,PM2.5,2011/1/17 10:00,2011,1,17,10,26
Beijing,PM2.5,2011/1/17 11:00,2011,1,17,11,18
Beijing,PM2.5,2011/1/17 12:00,2011,1,17,12,20
Beijing,PM2.5,2011/1/17 13:00,2011,1,17,13,23
Beijing,PM2.5,2011/1/17 14:00,2011,1,17,14,14
Beijing,PM2.5,2011/1/17 15:00,2011,1,17,15,18
Beijing,PM2.5,2011/1/17 16:00,2011,1,17,16,17
Beijing,PM2.5,2011/1/17 17:00,2011,1,17,17,20
Beijing,PM2.5,2011/1/17 18:00,2011,1,17,18,17
Beijing,PM2.5,2011/1/17 19:00,2011,1,17,19,26
Beijing,PM2.5,2011/1/17 20:00,2011,1,17,20,24
Beijing,PM2.5,2011/1/17 21:00,2011,1,17,21,16
Beijing,PM2.5,2011/1/17 22:00,2011,1,17,22,10
Beijing,PM2.5,2011/1/17 23:00,2011,1,17,23,12
Beijing,PM2.5,2011/1/18 0:00,2011,1,18,0,12
Beijing,PM2.5,2011/1/18 1:00,2011,1,18,1,12
Beijing,PM2.5,2011/1/18 2:00,2011,1,18,2,13
Beijing,PM2.5,2011/1/18 3:00,2011,1,18,3,13
Beijing,PM2.5,2011/1/18 4:00,2011,1,18,4,16
Beijing,PM2.5,2011/1/18 5:00,2011,1,18,5,18
Beijing,PM2.5,2011/1/18 6:00,2011,1,18,6,17
Beijing,PM2.5,2011/1/18 7:00,2011,1,18,7,24
Beijing,PM2.5,2011/1/18 8:00,2011,1,18,8,31
Beijing,PM2.5,2011/1/18 9:00,2011,1,18,9,31
Beijing,PM2.5,2011/1/18 10:00,2011,1,18,10,30
Beijing,PM2.5,2011/1/18 11:00,2011,1,18,11,31
Beijing,PM2.5,2011/1/18 12:00,2011,1,18,12,23
Beijing,PM2.5,2011/1/18 13:00,2011,1,18,13,18
Beijing,PM2.5,2011/1/18 14:00,2011,1,18,14,19
Beijing,PM2.5,2011/1/18 15:00,2011,1,18,15,19
Beijing,PM2.5,2011/1/18 16:00,2011,1,18,16,18
Beijing,PM2.5,2011/1/18 17:00,2011,1,18,17,17
Beijing,PM2.5,2011/1/18 18:00,2011,1,18,18,21
Beijing,PM2.5,2011/1/18 19:00,2011,1,18,19,28
Beijing,PM2.5,2011/1/18 20:00,2011,1,18,20,25
Beijing,PM2.5,2011/1/18 21:00,2011,1,18,21,21
Beijing,PM2.5,2011/1/18 22:00,2011,1,18,22,16
Beijing,PM2.5,2011/1/18 23:00,2011,1,18,23,22
Beijing,PM2.5,2011/1/19 0:00,2011,1,19,0,24
Beijing,PM2.5,2011/1/19 1:00,2011,1,19,1,20
Beijing,PM2.5,2011/1/19 2:00,2011,1,19,2,26
Beijing,PM2.5,2011/1/19 3:00,2011,1,19,3,21
Beijing,PM2.5,2011/1/19 4:00,2011,1,19,4,17
Beijing,PM2.5,2011/1/19 5:00,2011,1,19,5,23
Beijing,PM2.5,2011/1/19 6:00,2011,1,19,6,23
